8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3
17,10,11,12,13,14,15,16,17,10,11,12,13,14,15,16,17,10,11,12
19,19,20,21,22,23,24,25,19,19,20,21,22,23,24,25,19,19,20,21
35,28,30,30,31,32,33,34,35,28,30,30,31,32,33,34,35,28,30,30
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
